Country,Year,CO2_total,CO2_coal,CO2_oil,CO2_gas,CO2_cement,GDP,Population,Primary_energy,Energy_intensity,Urban_population_pct,Trade_share_GDP,GDP_growth_annual,GDP_lag1,GDP_lag2,Energy_intensity_lag1,Energy_intensity_lag2
Finland,2035,28.07070551307984,6.267642604244458,19.611031694056752,0.5256323648642004,1.666398849914425,228738267376.8787,5872203.239277924,273.9443976798969,1.20350508518538,87.60701709268275,54.91832434868957,426598.9337295898,204241021610.66663,202222119594.66663,1.6206666666666667,1.6493333333333335
Finland,2036,27.63703777375212,5.927936375094409,19.47571557536776,0.4703358400804865,1.763049983209462,229904832540.5008,5893930.391263253,271.122770383794,1.1853321583990806,87.73842761832178,54.00668016450133,844068.6502773664,204241021610.66663,202222119594.66663,1.6206666666666667,1.6493333333333335
Finland,2037,27.234138753401645,5.606642223564291,19.341333137897724,0.4208565097040193,1.865306882235611,231077347186.45737,5915737.933710927,268.33020584884093,1.1674336428072545,87.87003525974927,53.110169273770616,1670074.2314387972,204241021610.66663,202222119594.66663,1.6206666666666667,1.6493333333333335
Finland,2038,26.86071724058177,5.302762215047107,19.20787793924623,0.3765824048831565,1.9734946814052765,232255841657.10837,5937626.164065658,265.5664047285979,1.1498053948008649,88.0018403126389,52.22854046382603,3304408.874324804,204241021610.66663,202222119594.66663,1.6206666666666667,1.6493333333333335
Finland,2039,26.51561939327322,5.015352502991553,19.075343581465432,0.3369659358894484,2.087957372926782,233440346449.5596,5959595.380872701,262.8310707598933,1.1324433333393715,88.13384307310787,51.36154669212652,6538103.398739058,204241021610.66663,202222119594.66663,1.6206666666666667,1.6493333333333335
Finland,2040,26.197820128073147,4.743520397329411,18.94372371075332,0.3015171194338785,2.209058900556536,234630892216.4524,5981645.88378193,260.1239107310665,1.1153434390059471,88.26604383771753,50.50894501703722,12936291.3847451,204241021610.66663,202222119594.66663,1.6206666666666667,1.6493333333333335
Finland,2041,25.90641544420153,4.486421591794157,18.813012017149124,0.2697975184694345,2.3371843167888158,235827509766.75632,6003777.973551923,257.4446344505365,1.0985017530769574,88.39844290347412,49.6704965297544,25595746.133856654,204241021610.66663,202222119594.66663,1.6206666666666667,1.6493333333333335
Finland,2042,25.64061560243872,4.243257541518913,18.683202234230794,0.24141481952645,2.4727410071625666,237030230066.5668,6025991.952054066,254.792954715696,1.0819143766054953,88.53104056782934,48.84596628736048,50643743.30044879,204241021610.66663,202222119594.66663,1.6206666666666667,1.6493333333333335
Finland,2043,25.399739087673453,4.013272982768588,18.5542881388146,0.2160179805122674,2.616159985577996,238239084239.9063,6048288.122276666,252.16858728212435,1.0655774695187523,88.66383712868108,48.0351232469903,100203710.494268,204241021610.66663,202222119594.66663,1.6206666666666667,1.6493333333333335
Finland,2044,25.18320729146321,3.7957535871025305,18.42626355065678,0.1932928889623769,2.76789726474152,239454103569.52985,6070666.78832909,249.57125083311848,1.049487249729019,88.79683288437411,47.23774020109027,198263061.58395863,204241021610.66663,202222119594.66663,1.6206666666666667,1.6493333333333335
