Country,Year,CO2_total,CO2_coal,CO2_oil,CO2_gas,CO2_cement,GDP,Population,Primary_energy,Energy_intensity,Urban_population_pct,Trade_share_GDP,GDP_growth_annual,GDP_lag1,GDP_lag2,Energy_intensity_lag1,Energy_intensity_lag2
China,2038,6728.7788147955725,4686.601218880246,1157.7678918158774,198.53656594455356,685.8731381548962,29677403207708.777,1592137370.0488582,23348.88122779732,1.5068477958366686,90.70884778572196,12.746776448227822,6.83340160557481,18316961076565.33,17110212280320.0,1.9183333333333328,2.0253333333333328
China,2039,6594.279852236217,4592.869194502641,1140.4013734386392,179.72369732865815,681.285586966279,30270951271862.957,1601690194.2691512,22881.903603241368,1.486292684246032,92.75886774567928,12.099240204657848,6.83340160557481,18316961076565.33,17110212280320.0,1.9183333333333328,2.0253333333333328
China,2040,6463.729376554691,4501.011810612588,1123.2953528370597,162.6934928979476,676.7287202070955,30876370297300.21,1611300335.434766,22424.26553117654,1.4660179676718468,94.8552181567316,11.48459880226123,6.83340160557481,18316961076565.33,17110212280320.0,1.9183333333333328,2.0253333333333328
China,2041,6336.916861077429,4410.9915744003365,1106.4459225445037,147.27703149201702,672.2023326405711,31493897703246.21,1620968137.4473746,21975.78022055301,1.4460198212083273,96.99894608707372,10.90118118310636,6.83340160557481,18316961076565.33,17110212280320.0,1.9183333333333328,2.0253333333333328
China,2042,6213.648595552674,4322.7717429123295,1089.849233706336,133.32139853132506,667.7062204026836,32123775657311.14,1630693946.2720587,21536.26461614195,1.4262944721257371,99.1911222686416,10.347401179004557,6.83340160557481,18316961076565.33,17110212280320.0,1.9183333333333328,2.0253333333333328
China,2043,6093.746153518192,4236.316308054083,1073.501495200741,120.68816927038522,663.240180992982,32766251170457.363,1640478109.949691,21105.53932381911,1.4068381991586496,101.4328416319129,9.821753199111123,6.83340160557481,18316961076565.33,17110212280320.0,1.9183333333333328,2.0253333333333328
China,2044,5977.045003705595,4151.589981893001,1057.3989727727298,109.2520357743984,658.8040132654658,33421576193866.51,1650320978.6093893,20683.428537342726,1.3876473318039146,103.72522385279412,9.32280813659628,6.83340160557481,18316961076565.33,17110212280320.0,1.9183333333333328,2.0253333333333328
China,2045,5863.393251856229,4068.558182255141,1041.5379881811389,98.89956400042368,654.3975174195252,34090007717743.844,1660222904.4810455,20269.759966595877,1.368718249628205,106.06941391186726,8.84920948325719,6.83340160557481,18316961076565.33,17110212280320.0,1.9183333333333328,2.0253333333333328
China,2046,5752.650500614083,3987.187018610038,1025.9149183584218,89.52806865468004,650.0204949909429,34771807872098.723,1670184241.907932,19864.36476726396,1.3500473815850085,108.46658266627546,8.399669641507726,6.83340160557481,18316961076565.33,17110212280320.0,1.9183333333333328,2.0253333333333328
China,2047,5644.686816329621,3907.443278237837,1010.5261945830456,81.04459466578403,645.6727488429551,35467244029540.695,1680205347.3593795,19467.07747191868,1.3316312053409314,110.91792743453328,7.972966423719134,6.83340160557481,18316961076565.33,17110212280320.0,1.9183333333333328,2.0253333333333328
China,2048,5539.381792665995,3829.29441267308,995.3683016642998,73.36499517124206,641.3540831573728,36176588910131.51,1690286579.4435358,19077.735922480304,1.313466246611202,113.42467259455373,7.567939729394202,6.83340160557481,18316961076565.33,17110212280320.0,1.9183333333333328,2.0253333333333328
China,2049,5436.62370185654,3752.7085244196182,980.4377771393353,66.41309687182333,637.0643034257621,36900120688334.14,1700428298.920197,18696.181204030698,1.2955490785042283,115.98807019519064,7.183488391140977,6.83340160557481,18316961076565.33,17110212280320.0,1.9183333333333328,2.0253333333333328
China,2050,5336.308725329189,3677.654353931226,965.7312104822452,60.11994447503372,632.8032164406841,37638123102100.82,1710630868.7137182,18322.257579950085,1.2778763208751047,118.60940058160192,6.818567180871016,6.83340160557481,18316961076565.33,17110212280320.0,1.9183333333333328,2.0253333333333328
Finland,2018,43.45222,16.74722,22.214,3.887,0.604,212898246819.84,5527495.838666667,323.46272,1.5826666666666669,87.20221499999998,70.4581662608818,1.975039020214826,204241021610.66663,202222119594.66663,1.6206666666666667,1.6493333333333335
Finland,2019,43.1172756,16.412275599999997,22.214,3.887,0.604,217156211756.2368,5560660.813698667,316.9934656,1.5826666666666669,89.17298505899997,66.878891414829,1.975039020214826,204241021610.66663,202222119594.66663,1.6206666666666667,1.6493333333333335
Finland,2020,42.789030088,16.084030088,22.214,3.887,0.604,221499335991.3615,5594024.778580859,310.653596288,1.5826666666666669,91.18829452133336,63.48144373095569,1.975039020214826,204241021610.66663,202222119594.66663,1.6206666666666667,1.6493333333333335
Finland,2021,42.46734948624,15.762349486239998,22.214,3.887,0.604,225929322711.18875,5627588.927252345,304.44052436224,1.5826666666666669,93.24914997751549,60.25658638942314,1.975039020214826,204241021610.66663,202222119594.66663,1.6206666666666667,1.6493333333333335
Finland,2022,42.1521024965152,15.447102496515198,22.214,3.887,0.604,230447909165.4125,5661354.460815859,298.35171387499514,1.5826666666666669,95.35658076700732,57.19555180084045,1.975039020214826,204241021610.66663,202222119594.66663,1.6206666666666667,1.6493333333333335
