GDP,Population,Primary_energy,Energy_intensity,Urban_population_pct,Trade_share_GDP,GDP_growth_annual,GDP_lag1,GDP_lag2,Energy_intensity_lag1,Energy_intensity_lag2,CO2_coal,CO2_oil,CO2_gas,CO2_cement,Year,CO2_total
3775704668097.7407,83076984.87386666,3851.0108809333324,1.0202941,77.243779,85.46241402533289,2.1942419965885955,3637265039360.0,3566759400789.3335,1.0386666666666666,1.062,302.43570239999997,274.292778,172.49231699999999,13.6439808,2018,762.8647781999999
3837248654187.734,83508985.19521077,3865.2596211927857,1.0077444825700002,77.2592277558,85.52223771515062,2.35310511714161,3637265039360.0,3566759400789.3335,1.0386666666666666,1.062,292.51581136127993,273.0858897768,172.94079702419998,13.88411486208,2019,752.42661302436
3899795807250.9937,83943231.91822587,3879.5610817911993,0.9953492254343892,77.27467960135115,85.58210328155123,2.5234699276226626,3637265039360.0,3566759400789.3335,1.0386666666666666,1.062,282.9212927486299,271.88431186178207,173.3904430964629,14.128475283652609,2020,742.3245229905275
3963362478909.1846,84379736.72420065,3893.915457793827,0.9831064299615462,77.29013453727143,85.64201075384831,2.7061691503825434,3637265039360.0,3566759400789.3335,1.0386666666666666,1.062,273.64147434647487,270.68802088959023,173.84125824851367,14.377136448644896,2021,732.5478899332237
4027965287315.4043,84818511.35516651,3908.3229449876644,0.9710142208730191,77.30559256417888,85.701960161376,2.9020957968702397,3637265039360.0,3566759400789.3335,1.0386666666666666,1.062,264.66603398791045,269.49699359767607,174.29324551995978,14.630174050141047,2022,723.0864471556873
4093621121498.6455,85259567.61421338,3922.783739884119,0.9590707459562811,77.32105368269171,85.76195153348895,3.112207532563645,3637265039360.0,3566759400789.3335,1.0386666666666666,1.062,255.984988073107,268.3112068258463,174.74640795831166,14.88766511342353,2023,713.9302679706884
4160347145779.073,85702917.3658073,3937.29803972169,0.9472741757810188,77.33651789342825,85.8219848995624,3.337531357921253,3637265039360.0,3566759400789.3335,1.0386666666666666,1.062,247.58868046430908,267.13063751581257,175.20074861900326,15.149688019419786,2024,705.0697546185448
4228160804255.272,86148572.5361095,3951.8660424686605,0.9356227034189123,77.35198519700694,85.88206028899208,3.5791686282347515,3637265039360.0,3566759400789.3335,1.0386666666666666,1.062,239.46777174507972,265.955262710743,175.65627056541265,15.416322528561576,2025,696.495627549797
4297079825364.633,86596545.11329728,3966.4879468257946,0.9241145441668597,77.36745559404633,85.94217773119436,3.8383004369189475,3637265039360.0,3566759400789.3335,1.0386666666666666,1.062,231.6132288318411,264.78505955481575,176.11297686888273,15.687649805064261,2026,688.1989150606038
4367122226518.076,87046847.14788644,3981.16395222905,0.9127479352736073,77.38292908516515,86.0023372556062,4.1161933885518796,3637265039360.0,3566759400789.3335,1.0386666666666666,1.062,224.0163149261567,263.6200052927746,176.5708706087418,15.963752441633392,2027,680.1709432693063
4438306318810.32,87499490.75305545,3995.8942588522978,0.901521135669742,77.39840567098217,86.06253889168511,4.414205789883035,3637265039360.0,3566759400789.3335,1.0386666666666666,1.062,216.66857979657874,262.46007726948636,177.02995487232454,16.244714484606142,2028,672.4033264229957
4510650711806.929,87954488.10497135,4010.6790676100513,0.8904324257010042,77.41388535211637,86.12278266890928,4.733794289070567,3637265039360.0,3566759400789.3335,1.0386666666666666,1.062,209.56185037925096,261.3052529295006,177.49023275499258,16.53062145953521,2029,664.8879575232793
