GDP,Population,Primary_energy,Energy_intensity,Urban_population_pct,Trade_share_GDP,GDP_growth_annual,GDP_lag1,GDP_lag2,Energy_intensity_lag1,Energy_intensity_lag2,CO2_coal,CO2_oil,CO2_gas,CO2_cement,Year,CO2_total
3789450714808.32,83143102.64933333,3760.0783733333324,1.0330000000000001,78.97369366666666,81.06417846791845,2.0461040624660534,3637265039360.0,3566759400789.3335,1.0386666666666666,1.062,306.43816,275.505,172.045,13.408,2018,767.39616
3865239729104.4863,83641961.26522933,3684.8768058666656,1.0330000000000001,80.75849914353333,76.94611820174819,2.0461040624660534,3637265039360.0,3566759400789.3335,1.0386666666666666,1.062,300.3093968,275.505,172.045,13.408,2019,761.2673967999999
3942544523686.576,84143813.0328207,3611.179269749332,1.0330000000000001,82.58364122417717,73.03725539709939,2.0461040624660534,3637265039360.0,3566759400789.3335,1.0386666666666666,1.062,294.303208864,275.505,172.045,13.408,2020,755.261208864
4021395414160.3076,84648675.91101763,3538.955684354345,1.0330000000000001,84.45003151584358,69.32696282292675,2.0461040624660534,3637265039360.0,3566759400789.3335,1.0386666666666666,1.062,288.41714468672,275.505,172.045,13.408,2021,749.37514468672
4101823322443.5137,85156567.96648373,3468.176570667258,1.0330000000000001,86.35860222810163,65.80515311152207,2.0461040624660534,3637265039360.0,3566759400789.3335,1.0386666666666666,1.062,282.6488017929856,275.505,172.045,13.408,2022,743.6068017929856
4183859788892.384,85667507.37428263,3398.813039253913,1.0330000000000001,88.31030663845672,62.462251333456756,2.0461040624660534,3637265039360.0,3566759400789.3335,1.0386666666666666,1.062,276.9958257571259,275.505,172.045,13.408,2023,737.9538257571259
4267536984670.2314,86181512.41852832,3330.8367784688344,1.0330000000000001,90.30611956848584,59.28916896571715,2.0461040624660534,3637265039360.0,3566759400789.3335,1.0386666666666666,1.062,271.45590924198336,275.505,172.045,13.408,2024,732.4139092419833
4352887724363.636,86698601.49303949,3264.2200428994574,0.9831122810570011,92.34703787073362,56.277279182258724,2.0461040624660534,3637265039360.0,3566759400789.3335,1.0386666666666666,1.062,266.02679105714367,271.37242499999996,172.045,13.110220125786162,2025,722.5544361829297
4439945478850.909,87218793.10199773,3198.9356420414683,0.9356338404308807,94.4340809266122,53.41839339979998,2.0461040624660534,3637265039360.0,3566759400789.3335,1.0386666666666666,1.062,260.7062552360008,267.30183862499996,172.045,12.819053680382499,2026,712.8721475413832
4528744388427.928,87742105.86060973,3134.956929200639,0.8904483243950874,96.56829115555362,50.70473901509015,2.0461040624660534,3637265039360.0,3566759400789.3335,1.0386666666666666,1.062,255.4921301312808,263.29231104562496,172.045,12.534353785358281,2027,703.3637949622639
