GDP,Population,Primary_energy,Energy_intensity,Urban_population_pct,Trade_share_GDP,GDP_growth_annual,GDP_lag1,GDP_lag2,Energy_intensity_lag1,Energy_intensity_lag2,CO2_coal,CO2_oil,CO2_gas,CO2_cement,Year,CO2_total
8572448822997.8125,1360673834.7375,8653.127539100002,1.0113285,33.584569333333334,38.02160556183376,8.408676573416647,7441391200938.667,6897059321173.333,1.0719999999999998,1.1016666666666668,1628.8188000000002,671.9031076,121.0744882,124.6057818,2018,2546.4021776
9186236158724.457,1377682257.6717186,9052.036718652513,0.9875622802500001,33.98758416533334,35.303060764162645,9.090620243520737,7441391200938.667,6897059321173.333,1.0719999999999998,1.1016666666666668,1710.2597400000004,713.6954808927201,123.26593643642,128.26919178492003,2019,2675.490349114061
9843970667689.129,1394903285.892615,9469.335611382394,0.9643545666641252,34.39543517531734,32.778891919525016,9.827869545270268,7441391200938.667,6897059321173.333,1.0719999999999998,1.1016666666666668,1795.7727270000005,758.0873398042473,125.49704988591921,132.04030602339668,2020,2811.3974227135636
10548798967495.672,1412339576.9662726,9905.871983067122,0.9416922343475184,34.80818039742115,30.435201147278978,10.624909765391687,7441391200938.667,6897059321173.333,1.0719999999999998,1.1016666666666668,1885.5613633500006,805.2403723400715,127.76854648885435,135.92229102048455,2021,2954.4925731994113
11304092973568.363,1429993821.678351,10362.532681486517,0.9195624668403517,35.2258785621902,28.259084265248532,11.486589947364951,7441391200938.667,6897059321173.333,1.0719999999999998,1.1016666666666668,1979.8394315175008,855.326323499624,130.08115718030263,139.91840637648681,2022,3105.165318573914
12113466030475.86,1447868744.4493303,10840.245438103046,0.8979527488696034,35.648589104936484,26.23855974028326,12.418152392096248,7441391200938.667,6897059321173.333,1.0719999999999998,1.1016666666666668,2078.8314030933757,908.5276208213006,132.4356261252661,144.03200752395554,2023,3263.8266575638977
12980790198257.932,1465967103.754947,11339.980752799596,0.8768508592711678,36.076372174195726,24.36250271885301,13.425264551095253,7441391200938.667,6897059321173.333,1.0719999999999998,1.1016666666666668,2182.7729732480448,965.0380388363856,134.83271095813342,148.26654854515985,2024,3430.9102715877234
13910214776453.201,1484291692.5518837,11862.753865503659,0.8562448640782954,36.50928864028607,22.620583774455017,14.514053506189077,7441391200938.667,6897059321173.333,1.0719999999999998,1.1016666666666668,2291.911621910447,1025.0634048520087,137.27318302647564,152.62558507238757,2025,3606.873794861319
14906186154447.252,1502845338.7087822,12409.626818703378,0.8361231097724554,36.94740010396951,21.003212034581484,15.69114324554101,7441391200938.667,6897059321173.333,1.0719999999999998,1.1016666666666668,2406.5072030059696,1088.8223486338036,139.75782763925486,157.11277727351577,2026,3792.200156552544
15973469083105.678,1521630905.442642,12981.710615045604,0.8164742166928027,37.39076890521714,19.501482374108907,16.963694962754385,7441391200938.667,6897059321173.333,1.0719999999999998,1.1016666666666668,2526.832563156268,1156.5470987188262,142.28744431952538,161.73189292535716,2027,3987.3989991199765
17117169469456.047,1540651291.760675,13580.167474399206,0.7972870726005219,37.83945813207975,18.107126384360118,18.339450624233766,7441391200938.667,6897059321173.333,1.0719999999999998,1.1016666666666668,2653.1741913140813,1228.4843282591373,144.86284706170878,166.48681057736266,2028,4193.00817721229
18342758803469.1,1559909432.9076834,14206.21319496901,0.7785508263944096,38.293531629664706,16.81246684787837,19.826780069859122,7441391200938.667,6897059321173.333,1.0719999999999998,1.1016666666666668,2785.8329008797855,1304.8960534768557,147.4848645935257,171.38152280833714,2029,4409.595341758503
19656100333797.492,1579408300.8190293,14861.119623257082,0.760254881974141,38.75305400922068,15.610375468255066,21.434731933524695,7441391200938.667,6897059321173.333,1.0719999999999998,1.1016666666666668,2925.124545923775,1386.0605880031162,150.15434064266853,176.42013957890228,2030,4637.759614148461
21063477117697.395,1599150904.579267,15546.217237889234,0.7423888922477487,39.21809065733133,14.494233622274828,23.173088693333547,7441391200938.667,6897059321173.333,1.0719999999999998,1.1016666666666668,3071.380773219964,1472.27355657691,152.87213420830082,181.60689168252202,2031,4878.133355687696
